"sum","crop_year","crop_state","crop"
"87.4292348549446397",2004,"Tamil Nadu","Rice"
"5.6873243434607147",2008,"Himachal Pradesh","Urad"
"84.6734071296040796",2004,"Bihar","Rice"
"2.0013157894736842",1999,"Punjab","Urad"
"56.8477073652989203",2013,"Telangana","Rice"
"7.8919962114802034",2010,"Chhattisgarh","Moong(Green Gram)"
"13.3665851809756369",2016,"Uttarakhand","Urad"
"42.6462108309896696",2017,"Telangana","Urad"
"204.4164280303646253",2016,"Telangana","Rice"
"23.4398360052507699",2011,"Uttarakhand","Maize"
"35.8225907221305946",2000,"Tamil Nadu","Maize"
"85.0242191566361502",2000,"Kerala","Rice"
"78.7726161007566154",1998,"Kerala","Rice"
"34.5130058798209472",2004,"Bihar","Moong(Green Gram)"
"18.3346624317116872",2017,"Chhattisgarh","Moong(Green Gram)"
"20.1797357798873856",2008,"Uttarakhand","Maize"
"42.6366452422011871",2007,"Bihar","Moong(Green Gram)"
"18.4185101011626223",2006,"Arunachal Pradesh","Rice"
"3.5341540124821858",2010,"Himachal Pradesh","Moong(Green Gram)"
"26.6447430321851970",2004,"Uttarakhand","Rice"
"11.2898126539160486",2015,"Telangana","Moong(Green Gram)"
"22.5938479528850436",2005,"Arunachal Pradesh","Maize"
"7.4052513946649565",2009,"Chhattisgarh","Moong(Green Gram)"
"18.6942178862070880",2000,"Chhattisgarh","Maize"
"16.8433782904912367",2002,"Jharkhand","Maize"
"84.8024059808452680",2001,"Kerala","Rice"
"16.1675123488818222",2003,"Himachal Pradesh","Rice"
"42.7392215627509739",2007,"Punjab","Maize"
"0",2005,"Tamil Nadu","Maize"
"246.4948987836428643",2005,"Bihar","Maize"
"34.4056974955464663",2015,"Himachal Pradesh","Maize"
"6.1080500938079479",2004,"Uttarakhand","Urad"
"14.4992577819321894",2017,"Chhattisgarh","Urad"
"129.4981439743122539",2003,"Bihar","Rice"
"19.9607259404720224",2001,"Bihar","Urad"
"34.4377433432210137",2016,"Uttarakhand","Rice"
"24.2402964204444350",2010,"Arunachal Pradesh","Maize"
"7.0471918441823883",2004,"Chhattisgarh","Moong(Green Gram)"
"10.7128530749665754",2010,"Uttarakhand","Urad"
"16.3326445521715267",2009,"Himachal Pradesh","Rice"
"23.7985651704762414",2003,"Uttarakhand","Maize"
"5.0906730259671434",2017,"Himachal Pradesh","Moong(Green Gram)"
"2.2351282051282050",2010,"Uttarakhand","Moong(Green Gram)"
"11.7459197913322250",2009,"Tamil Nadu","Urad"
"7.6615827486642060",2004,"Chhattisgarh","Urad"
"46.5366976069176750",2014,"Bihar","Moong(Green Gram)"
"2.9333333333333332",2017,"Uttarakhand","Moong(Green Gram)"
"33.1508162814197300",2001,"Punjab","Maize"
"3.5480225988700563",2016,"Kerala","Maize"
"14.2481574574698911",2015,"Chhattisgarh","Urad"
"13.8787607152405278",2000,"Arunachal Pradesh","Rice"
"3.3936454100175332",2014,"Himachal Pradesh","Moong(Green Gram)"
"111.5151470062183570",2010,"Tamil Nadu","Rice"
"18.2001229976095486",2001,"Himachal Pradesh","Rice"
"19.5006927937478591",2010,"Arunachal Pradesh","Rice"
"10.5361383424498739",2000,"Chhattisgarh","Rice"
"7.9719102792632201",2000,"Punjab","Moong(Green Gram)"
"19.4897913823339094",2005,"Jharkhand","Rice"
"0",2013,"Kerala","Urad"
"26.0032539223376495",2004,"Bihar","Urad"
"83.8359864953679666",2013,"Telangana","Maize"
"40.7863937077563400",2015,"Tamil Nadu","Urad"
"16.9450848776733344",2001,"Bihar","Moong(Green Gram)"
"8.1139443314295624",2001,"Chhattisgarh","Urad"
"277.5532798694808099",2003,"Bihar","Maize"
"15.5748351373702230",2016,"Chhattisgarh","Urad"
"14.3549707323140564",2013,"Chhattisgarh","Urad"
"30.0508560263503366",2003,"Himachal Pradesh","Maize"
"32.9323580340810079",2015,"Chhattisgarh","Rice"
"44.2142420545819501",2010,"Bihar","Moong(Green Gram)"
"44.6454480762459254",2003,"Tamil Nadu","Maize"
"19.2069359074730480",2000,"Arunachal Pradesh","Maize"
"9.3289855072463769",2007,"Punjab","Moong(Green Gram)"
"8.0335223464140540",2017,"Himachal Pradesh","Urad"
"26.9646874887419850",2011,"Bihar","Urad"
"9.9390388596910335",2006,"Punjab","Moong(Green Gram)"
"2.3192307692307692",2013,"Punjab","Urad"
"12.4917734055008320",2002,"Himachal Pradesh","Rice"
"203.2653933553516223",2012,"Bihar","Rice"
"415.7246139381539761",2017,"Bihar","Maize"
"10.3333333333333334",2013,"Punjab","Moong(Green Gram)"
"17.5919030876589673",2008,"Himachal Pradesh","Rice"
"13.1287434628447205",1998,"Tamil Nadu","Moong(Green Gram)"
"27.6468520805259125",2007,"Himachal Pradesh","Maize"
"20.8227380267860627",2007,"Uttarakhand","Maize"
"22.1030005944785623",2013,"Arunachal Pradesh","Rice"
"2.1939616863619985",2002,"Uttarakhand","Moong(Green Gram)"
"48.8626984126984130",2015,"Punjab","Maize"
"147.8365280029215218",1998,"Bihar","Rice"
"116.1711908189797054",2006,"Bihar","Rice"
"31.2504135649296935",2002,"Punjab","Maize"
"19.5168228813075899",2011,"Arunachal Pradesh","Rice"
"94.6127439094370926",2010,"Kerala","Rice"
