,State,District,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield
2920,Arunachal Pradesh,EAST KAMENG,Rice,2001,Kharif,12310.0,Hectare,16790.0,Tonnes,1.363931762794476
2921,Arunachal Pradesh,EAST KAMENG,Rice,2002,Kharif,8500.0,Hectare,10715.0,Tonnes,1.2605882352941176
2922,Arunachal Pradesh,EAST KAMENG,Rice,2003,Kharif,8510.0,Hectare,10725.0,Tonnes,1.2602820211515864
2923,Arunachal Pradesh,EAST SIANG,Rice,2001,Kharif,5400.0,Hectare,5000.0,Tonnes,0.925925925925926
2924,Arunachal Pradesh,EAST SIANG,Rice,2002,Kharif,12330.0,Hectare,26605.0,Tonnes,2.1577453365774533
2925,Arunachal Pradesh,EAST SIANG,Rice,2003,Kharif,12100.0,Hectare,28000.0,Tonnes,2.3140495867768593
2926,Arunachal Pradesh,KURUNG KUMEY,Rice,2002,Kharif,6300.0,Hectare,7440.0,Tonnes,1.180952380952381
2927,Arunachal Pradesh,KURUNG KUMEY,Rice,2003,Kharif,7434.0,Hectare,6375.0,Tonnes,0.857546408393866
2928,Arunachal Pradesh,LOHIT,Rice,2001,Kharif,10900.0,Hectare,14170.0,Tonnes,1.3
2929,Arunachal Pradesh,LOHIT,Rice,2002,Kharif,14158.0,Hectare,12883.0,Tonnes,0.9099449074728068
2930,Arunachal Pradesh,LOHIT,Rice,2003,Kharif,14257.0,Hectare,19390.0,Tonnes,1.3600336676720208
2931,Arunachal Pradesh,LOWER DIBANG VALLEY,Rice,2002,Kharif,9580.0,Hectare,13500.0,Tonnes,1.4091858037578289
2932,Arunachal Pradesh,LOWER DIBANG VALLEY,Rice,2003,Kharif,9650.0,Hectare,11100.0,Tonnes,1.150259067357513
2933,Arunachal Pradesh,LOWER SUBANSIRI,Rice,2001,Kharif,4350.0,Hectare,3500.0,Tonnes,0.8045977011494253
2934,Arunachal Pradesh,LOWER SUBANSIRI,Rice,2002,Kharif,14800.0,Hectare,17465.0,Tonnes,1.1800675675675676
2935,Arunachal Pradesh,LOWER SUBANSIRI,Rice,2003,Kharif,8460.0,Hectare,10152.0,Tonnes,1.2
2936,Arunachal Pradesh,PAPUM PARE,Rice,2001,Kharif,7940.0,Hectare,8270.0,Tonnes,1.0415617128463477
2937,Arunachal Pradesh,PAPUM PARE,Rice,2002,Kharif,8050.0,Hectare,8500.0,Tonnes,1.0559006211180124
2938,Arunachal Pradesh,PAPUM PARE,Rice,2003,Kharif,8470.0,Hectare,9825.0,Tonnes,1.1599763872491144
2939,Arunachal Pradesh,TAWANG,Rice,2001,Kharif,902.0,Hectare,1190.0,Tonnes,1.319290465631929
2940,Arunachal Pradesh,TAWANG,Rice,2002,Kharif,907.0,Hectare,1210.0,Tonnes,1.3340683572216097
