State,Crop,Year,Yield
Bihar,Maize,1970,2.7598848982201853
Bihar,Maize,1970,1.2335794792071513
Bihar,Maize,1970,1.5
Bihar,Maize,1970,2.0614754098360657
Bihar,Maize,1970,1.8524911730090232
Bihar,Maize,1970,2.1666666666666665
Bihar,Maize,1970,2.848360655737705
Bihar,Maize,1970,0.7943262411347518
Bihar,Maize,1970,2.5714285714285716
Bihar,Maize,1970,2.8649006622516557
Bihar,Maize,1970,1.694980694980695
Bihar,Maize,1970,1.4545454545454546
Bihar,Maize,1970,2.0625
Bihar,Maize,1970,1.560032894736842
Bihar,Maize,1970,2.1333333333333333
Bihar,Maize,1970,2.3125
Bihar,Maize,1970,1.23
Bihar,Maize,1970,2.5833333333333335
Bihar,Maize,1970,2.908450704225352
Bihar,Maize,1970,1.754566210045662
Bihar,Maize,1970,1.5719669777458722
Bihar,Maize,1970,1.5987184621545856
Bihar,Maize,1970,1.530981887511916
Bihar,Maize,1970,2.67206132879046
Bihar,Maize,1970,2.3122615803814712
Bihar,Maize,1970,1.1746905089408528
Bihar,Maize,1970,2.021993041749503
Bihar,Maize,1970,1.9160975609756097
Bihar,Maize,1970,1.2117755856966708
Bihar,Maize,1970,2.30978809283552
Bihar,Maize,1970,1.2292412894822533
Bihar,Maize,1970,2.608923884514436
Bihar,Maize,1970,3.226792009400705
Bihar,Maize,1970,1.7101956745623068
Bihar,Maize,1970,3.0294117647058822
Bihar,Maize,1970,2.780439121756487
Bihar,Maize,1970,1.6972629250760298
Bihar,Maize,1970,3.2680234563642636
Bihar,Maize,1970,2.429137760158573
Bihar,Maize,1970,1.2494819249366798
Bihar,Maize,1970,1.2320050401638054
Bihar,Maize,1970,2.606696651674163
Bihar,Maize,1970,1.2153762760863671
Bihar,Maize,1970,3.2979553613235524
Bihar,Maize,1970,3.880940214614206
Bihar,Maize,1970,1.851542177629134
Bihar,Maize,1970,3.7777777777777777
Bihar,Maize,1970,2.3548387096774195
Bihar,Maize,1970,1.0642124726844848
Bihar,Maize,1970,2.2564102564102564
Bihar,Maize,1970,1.9710610932475885
Bihar,Maize,1970,1.3619078839534502
Bihar,Maize,1970,3.2831858407079646
Bihar,Maize,1970,3.3343653250773992
Bihar,Maize,1970,10.114413075780089
Bihar,Maize,1970,3.3202247191011236
Bihar,Maize,1970,2.4861878453038675
Bihar,Maize,1970,1.153191489361702
Bihar,Maize,1970,2.6118721461187215
Bihar,Maize,1970,2.746987951807229
Bihar,Maize,1970,1.7090395480225988
Bihar,Maize,1970,3.028776978417266
Bihar,Maize,1970,2.789189189189189
Bihar,Maize,1970,1.6802973977695168
Bihar,Maize,1970,2.0625
Bihar,Maize,1970,1.5691906005221932
Bihar,Maize,1970,2.0
Bihar,Maize,1970,2.84
Bihar,Maize,1970,1.2289156626506024
Bihar,Maize,1970,2.6040609137055837
Bihar,Maize,1970,2.68
Bihar,Maize,1970,1.7042695987433958
Bihar,Maize,1970,2.825983028564599
Bihar,Maize,1970,2.3172898926323584
Bihar,Maize,1970,2.1441663247161813
Bihar,Maize,1970,2.377674014550983
Bihar,Maize,1970,1.7559116022099448
Bihar,Maize,1970,2.4072164948453607
Bihar,Maize,1970,2.350986422623959
Bihar,Maize,1970,2.4024226110363394
Bihar,Maize,1970,1.4116030774061863
Bihar,Maize,1970,4.490013598504165
Bihar,Maize,1970,2.3964183964183965
Bihar,Maize,1970,0.8075750053195262
Bihar,Maize,1970,2.560984251968504
Bihar,Maize,1970,2.366897630755476
Bihar,Maize,1970,1.411230226173356
Bihar,Maize,1970,4.096989290765811
Bihar,Maize,1970,3.2050717803625695
Bihar,Maize,1970,1.7128712871287128
Bihar,Maize,1970,2.6431372549019607
Bihar,Maize,1970,2.446327683615819
Bihar,Maize,1970,1.9807909604519771
Bihar,Maize,1970,2.333984375
Bihar,Maize,1970,2.111111111111111
Bihar,Maize,1970,2.508670520231214
Bihar,Maize,1970,1.6213235294117647
Bihar,Maize,1970,2.22488038277512
Bihar,Maize,1970,2.024891461649783
Bihar,Maize,1970,2.0641025641025643
Bihar,Maize,1970,2.007425742574257
Bihar,Maize,1970,2.2540983606557377
Bihar,Maize,1970,1.9732142857142856
Bihar,Maize,1970,1.632084534101825
Bihar,Maize,1970,3.2842105263157895
Bihar,Maize,1970,3.625
Bihar,Maize,1970,1.3260462211118051
Bihar,Maize,1970,4.114004222378607
Bihar,Maize,1970,2.991005723630417
Bihar,Maize,1970,2.6445296453512257
Bihar,Maize,1970,4.493034524530588
Bihar,Maize,1970,4.013305455236647
Bihar,Maize,1970,2.681417322834646
Bihar,Maize,1970,5.065990198108649
Bihar,Maize,1970,3.5027064378670967
Bihar,Maize,1970,1.8266331658291457
Bihar,Maize,1970,2.429411764705882
Bihar,Maize,1970,2.0275344180225283
Bihar,Maize,1970,1.7726396917148362
Bihar,Maize,1970,2.995391705069125
Bihar,Maize,1970,2.3076923076923075
Bihar,Maize,1970,1.3416280050611555
Bihar,Maize,1970,2.4358974358974357
Bihar,Maize,1970,1.8112094395280236
Bihar,Maize,1970,1.5475504322766571
Bihar,Maize,1970,2.8572216097023153
Bihar,Maize,1970,2.4443579766536967
Bihar,Maize,1970,1.5398247322297955
Bihar,Maize,1970,1.4767676767676767
Bihar,Maize,1970,2.463849765258216
Bihar,Maize,1970,1.1668594563331405
Bihar,Maize,1970,2.357079646017699
Bihar,Maize,1970,3.143467122117848
Bihar,Maize,1970,0.987100315630575
Bihar,Maize,1970,3.9690003057169063
Bihar,Maize,1970,2.568048645660586
Bihar,Maize,1970,1.7877300613496931
Bihar,Maize,1970,1.5590338471317338
Bihar,Maize,1970,2.3333579444772594
Bihar,Maize,1970,1.6312563840653729
Bihar,Maize,1970,1.9309728487530853
Bihar,Maize,1970,2.231582566835726
Bihar,Maize,1970,2.3361344537815127
Bihar,Maize,1970,1.4645522388059702
Bihar,Maize,1970,2.804669260700389
